"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"1","1921-10-15T04:58:19.000Z",-12.745,166.868,35,7.1,"mw",NA,NA,NA,NA,"iscgem","iscgem912341","2015-05-13T18:52:41.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"2","1934-07-19T07:36:58.000Z",-13.087,166.334,15,6.9,"mw",NA,NA,NA,NA,"iscgem","iscgem905053","2015-05-13T18:52:43.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"3","1934-08-07T03:40:09.000Z",-12.706,166.454,15,6.8,"mw",NA,NA,NA,NA,"iscgem","iscgem905094","2015-05-13T18:52:43.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"4","1950-07-22T23:08:06.000Z",-13.218,166.63,45,6,"mw",NA,NA,NA,NA,"iscgem","iscgem895619","2015-05-13T18:52:45.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"5","1953-11-04T03:49:13.000Z",-13.082,166.464,35,7.1,"mw",NA,NA,NA,NA,"iscgem","iscgem892130","2015-05-13T18:52:48.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"6","1953-11-04T12:27:47.000Z",-12.485,166.62,35,6.3,"mw",NA,NA,NA,NA,"iscgem","iscgem892134","2015-05-13T18:52:48.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"7","1953-11-13T19:15:44.000Z",-13.142,166.429,25,6.6,"mw",NA,NA,NA,NA,"iscgem","iscgem892153","2015-05-13T18:52:48.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"8","1954-02-27T23:34:39.000Z",-12.917,166.657,35,6,"mw",NA,NA,NA,NA,"iscgem","iscgem890398","2015-05-13T18:52:48.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"9","1955-02-15T06:20:22.000Z",-13.423,166.823,65,6.2,"mw",NA,NA,NA,NA,"iscgem","iscgem16968952","2015-05-13T18:52:49.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"10","1957-12-17T13:50:22.000Z",-12.418,166.684,123.6,7.8,"mw",NA,NA,NA,NA,"iscgem","iscgem887702","2015-05-13T18:52:52.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"11","1958-01-15T22:15:54.000Z",-13.502,166.641,35,6.2,"mw",NA,NA,NA,NA,"iscgem","iscgem883700","2015-05-13T18:52:52.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"12","1958-05-18T02:33:00.000Z",-13.149,166.78,45,6.3,"mw",NA,NA,NA,NA,"iscgem","iscgem884398","2015-05-13T18:52:52.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"13","1958-05-18T12:21:24.000Z",-13.262,166.807,45,6.2,"mw",NA,NA,NA,NA,"iscgem","iscgem884401","2015-05-13T18:52:52.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"14","1958-05-19T00:06:08.000Z",-13.423,166.666,45,5.8,"mw",NA,NA,NA,NA,"iscgem","iscgem884402","2015-05-13T18:52:52.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"15","1960-03-27T08:58:00.000Z",-13.314,166.005,25,6.1,"mw",NA,NA,NA,NA,"iscgem","iscgem878656","2015-05-13T18:52:54.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"16","1961-10-04T02:23:24.000Z",-13.081,166.573,65,5.7,"mw",NA,NA,NA,NA,"iscgem","iscgem877477","2015-05-13T18:52:56.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"17","1961-11-06T05:28:22.000Z",-13.369,166.597,35,6,"mw",NA,NA,NA,NA,"iscgem","iscgem877650","2015-05-13T18:52:56.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"18","1962-10-13T18:47:45.000Z",-12.566,166.659,30,5.7,"mw",NA,NA,NA,NA,"iscgem","iscgem875508","2015-05-13T18:52:56.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"19","1962-11-11T16:09:56.000Z",-12.887,166.451,47.4,6.1,"mw",NA,NA,NA,NA,"iscgem","iscgem17292961","2015-05-13T18:52:56.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"20","1963-09-16T20:05:24.000Z",-13.405,166.513,35,5.7,"mw",NA,NA,NA,NA,"iscgem","iscgem873076","2015-05-13T18:52:57.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"21","1965-01-10T13:36:32.000Z",-13.405,166.629,35,6.7,"mw",NA,NA,NA,NA,"iscgem","iscgem860922","2015-05-13T18:52:58.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"22","1965-01-15T23:17:42.000Z",-13.309,166.212,35,6,"mw",NA,NA,NA,NA,"iscgem","iscgem861111","2015-05-13T18:52:58.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"23","1967-08-19T15:41:54.000Z",-12.481,166.652,85,5.7,"mw",NA,NA,NA,NA,"iscgem","iscgem832410","2015-05-13T18:53:01.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"24","1968-08-15T17:41:33.000Z",-12.76,166.188,25,5.6,"mw",NA,NA,NA,NA,"iscgem","iscgem818047","2015-05-13T18:53:02.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"25","1968-10-28T23:32:29.000Z",-12.442,166.41,50,6.4,"mw",NA,NA,NA,NA,"iscgem","iscgem816383","2015-05-13T18:53:02.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"26","1969-04-16T12:19:35.000Z",-13.488,166.976,100,6.2,"mw",NA,NA,NA,NA,"iscgem","iscgem809905","2015-05-13T18:53:02.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"27","1970-01-26T10:01:20.000Z",-12.592,166.488,35,6.5,"mw",NA,NA,NA,NA,"iscgem","iscgem800401","2015-05-13T18:53:03.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"28","1971-10-25T03:46:38.000Z",-13.062,166.393,40,6.4,"mw",NA,NA,NA,NA,"iscgem","iscgem779613","2015-05-13T18:53:06.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"29","1971-10-28T14:20:32.000Z",-13.342,166.392,40,5.7,"mw",NA,NA,NA,NA,"iscgemsup","iscgemsup779733","2015-07-13T17:02:24.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"30","1971-10-28T18:00:02.000Z",-13.384,166.429,35,6.7,"mw",NA,NA,NA,NA,"iscgem","iscgem779742","2015-05-13T18:53:06.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"31","1972-01-23T21:17:54.000Z",-13.248,166.407,35,7,"mw",NA,NA,NA,NA,"iscgem","iscgem777164","2015-05-13T18:53:06.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"32","1972-01-24T03:55:45.000Z",-13.144,166.406,35,6.1,"mw",NA,NA,NA,NA,"iscgem","iscgem777173","2015-05-13T18:53:06.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"33","1972-04-02T21:30:05.000Z",-13.102,166.214,10,6.7,"mw",NA,NA,NA,NA,"iscgem","iscgem774059","2015-05-13T18:53:06.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"34","1973-01-06T12:52:24.900Z",-12.733,166.369,54,4.8,"mb",NA,NA,NA,NA,"us","usp000001v","2014-11-06T23:21:07.377Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"35","1973-02-22T23:50:58.200Z",-12.593,166.449,50,4.3,"mb",NA,NA,NA,NA,"us","usp00000nn","2014-11-06T23:21:09.262Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"36","1973-03-01T09:59:02.600Z",-13.386,166.927,131,5,"mb",NA,NA,NA,NA,"us","usp00000sq","2014-11-06T23:21:09.645Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"37","1973-05-26T04:04:35.200Z",-13.097,167,203,4.2,"mb",NA,NA,NA,NA,"us","usp00001xu","2014-11-06T23:21:12.871Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"38","1973-06-03T04:21:05.500Z",-12.636,166.453,36,4.3,"mb",NA,NA,NA,NA,"us","usp000020c","2014-11-06T23:21:12.999Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"39","1973-06-28T14:11:03.000Z",-12.792,166.685,146,5.5,"mb",NA,NA,NA,NA,"us","usp00002eu","2015-05-13T18:53:08.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"40","1973-07-11T15:31:54.100Z",-12.422,166.651,76,4.8,"mb",NA,NA,NA,NA,"us","usp00002p0","2014-11-06T23:21:14.455Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"41","1973-10-02T00:18:01.700Z",-12.656,166.696,134,4.9,"mb",NA,NA,NA,NA,"us","usp00003n1","2014-11-06T23:21:20.588Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"42","1973-10-16T12:37:14.200Z",-12.611,166.42,35,5.2,"mb",NA,NA,NA,NA,"us","usp00003us","2014-11-06T23:21:20.943Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"43","1973-11-28T18:43:18.700Z",-12.521,166.604,124,5.3,"mb",NA,NA,NA,NA,"us","usp00004bb","2014-11-06T23:21:21.612Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"44","1973-12-17T20:35:45.500Z",-12.541,166.531,33,5.3,"mb",NA,NA,NA,NA,"us","usp00004jx","2014-11-06T23:21:21.887Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"45","1974-04-10T19:23:44.000Z",-12.56,166.522,48,5.1,"mb",NA,NA,NA,NA,"us","usp00005xk","2014-11-06T23:21:23.671Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"46","1974-05-03T12:18:25.500Z",-13.474,166.69,50,5.3,"mb",NA,NA,NA,NA,"us","usp000066n","2015-05-13T18:53:09.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"47","1974-07-19T01:41:53.900Z",-12.801,166.961,201,5,"mb",NA,NA,NA,NA,"us","usp000077d","2014-11-06T23:21:25.302Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"48","1974-08-18T17:54:16.300Z",-13.45,167.003,179,4.7,"mb",NA,NA,NA,NA,"us","usp00007p4","2014-11-06T23:21:25.856Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"49","1974-08-23T22:23:38.000Z",-12.896,166.801,177,4.5,"mb",NA,NA,NA,NA,"us","usp00007rd","2014-11-06T23:21:25.935Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"50","1974-09-02T18:17:34.600Z",-12.485,166.617,122,5.2,"mb",NA,NA,NA,NA,"us","usp00007wm","2014-11-06T23:21:26.124Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"51","1975-04-24T23:42:27.400Z",-12.432,166.909,226,4.8,"mb",NA,NA,NA,NA,"us","usp0000asx","2014-11-06T23:21:29.962Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"52","1975-05-12T00:42:03.500Z",-12.481,166.495,61,5.1,"mb",NA,NA,NA,NA,"us","usp0000b03","2014-11-06T23:21:30.283Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"53","1975-06-06T19:12:18.100Z",-12.528,166.416,37,5.3,"mb",NA,NA,NA,NA,"us","usp0000bbp","2014-11-06T23:21:30.554Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"54","1975-10-06T22:24:16.200Z",-12.519,166.499,54,7,"ms",NA,NA,NA,NA,"us","usp0000d2p","2015-05-13T18:53:11.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"55","1975-10-07T12:08:44.500Z",-12.622,166.345,35,5.2,"mb",NA,NA,NA,NA,"us","usp0000d2w","2014-11-06T23:21:32.219Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"56","1975-10-10T15:47:18.300Z",-12.991,166.117,33,5.6,"ms",NA,NA,NA,NA,"us","usp0000d3w","2014-11-06T23:21:32.240Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"57","1975-10-11T11:23:56.500Z",-13.464,166.523,42,5.1,"mb",NA,NA,NA,NA,"us","usp0000d41","2014-11-06T23:21:32.243Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"58","1975-10-12T02:52:32.200Z",-12.875,166.366,55,4.9,"mb",NA,NA,NA,NA,"us","usp0000d49","2014-11-06T23:21:32.247Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"59","1975-10-21T20:29:17.300Z",-12.467,166.509,67,5.4,"mb",NA,NA,NA,NA,"us","usp0000d7s","2015-05-13T18:53:11.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"60","1975-11-14T10:16:22.500Z",-12.837,166.561,30,4.6,"mb",NA,NA,NA,NA,"us","usp0000dk6","2014-11-06T23:21:32.701Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"61","1975-12-19T21:28:31.700Z",-12.647,166.513,51,4.9,"mb",NA,NA,NA,NA,"us","usp0000dz9","2014-11-06T23:21:32.978Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"62","1976-02-12T17:54:18.600Z",-12.433,166.368,39,5.6,"ms",NA,NA,NA,NA,"us","usp0000f1d","2014-11-06T23:21:34.057Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"63","1976-03-19T19:42:16.900Z",-12.628,166.521,50,5,"mb",NA,NA,NA,NA,"us","usp0000fh6","2014-11-06T23:21:34.417Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"64","1976-04-01T21:03:57.300Z",-12.89,166.449,84,5.8,"mb",NA,NA,NA,NA,"us","usp0000fqz","2015-07-13T17:02:24.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
